Window,Attack_Probability,Max_Attack_Probability,Traffic_Count,Minute
0,0.00259,0.46,1000,2026-01-01 09:00:00
1,0.0014399999999999999,0.52,1000,2026-01-01 09:01:00
2,0.308433057591564,1.0,1000,2026-01-01 09:02:00
3,0.82471,1.0,1000,2026-01-01 09:03:00
4,0.636192740668098,1.0,1000,2026-01-01 09:04:00
5,0.70347,1.0,1000,2026-01-01 09:05:00
6,0.84788,1.0,1000,2026-01-01 09:06:00
7,0.5862933342242744,1.0,1000,2026-01-01 09:07:00
8,0.6285299999999999,1.0,1000,2026-01-01 09:08:00
9,0.80965,1.0,1000,2026-01-01 09:09:00
10,0.86158,1.0,1000,2026-01-01 09:10:00
11,0.78899,1.0,1000,2026-01-01 09:11:00
12,0.7122999999999999,1.0,1000,2026-01-01 09:12:00
13,0.75279,1.0,1000,2026-01-01 09:13:00
14,0.67472,1.0,1000,2026-01-01 09:14:00
15,0.8160700000000001,1.0,1000,2026-01-01 09:15:00
16,0.8587899999999999,1.0,1000,2026-01-01 09:16:00
17,0.6034700000000001,1.0,1000,2026-01-01 09:17:00
18,0.62495,1.0,1000,2026-01-01 09:18:00
19,0.61418,1.0,1000,2026-01-01 09:19:00
20,0.87658,1.0,1000,2026-01-01 09:20:00
21,0.79661,1.0,1000,2026-01-01 09:21:00
22,0.55177,1.0,1000,2026-01-01 09:22:00
23,0.6657799999999999,1.0,1000,2026-01-01 09:23:00
24,0.7322799999999999,1.0,1000,2026-01-01 09:24:00
25,0.5839099999999999,1.0,1000,2026-01-01 09:25:00
26,0.59339,1.0,1000,2026-01-01 09:26:00
27,0.6361100000000001,1.0,1000,2026-01-01 09:27:00
28,0.19344,1.0,1000,2026-01-01 09:28:00
29,0.00054,0.09,1000,2026-01-01 09:29:00
30,0.0008300000000000001,0.24,1000,2026-01-01 09:30:00
31,0.00409,0.58,1000,2026-01-01 09:31:00
32,0.00418,0.65,1000,2026-01-01 09:32:00
33,0.004078907407356053,0.7089074073560527,1000,2026-01-01 09:33:00
34,0.00233,0.19,1000,2026-01-01 09:34:00
35,0.0016699999999999998,0.49,1000,2026-01-01 09:35:00
36,0.021420421931630518,1.0,1000,2026-01-01 09:36:00
37,0.01877,1.0,1000,2026-01-01 09:37:00
38,0.02089803005,1.0,1000,2026-01-01 09:38:00
39,0.0032600000000000003,0.65,1000,2026-01-01 09:39:00
40,0.0019480300500000001,0.48,1000,2026-01-01 09:40:00
41,0.00421,0.79,1000,2026-01-01 09:41:00
42,0.9714570959251284,1.0,1000,2026-01-01 09:42:00
43,0.9758270958587323,1.0,1000,2026-01-01 09:43:00
44,0.9677977436483949,1.0,1000,2026-01-01 09:44:00
45,0.9796779243529472,1.0,1000,2026-01-01 09:45:00
46,0.9776687623940008,1.0,1000,2026-01-01 09:46:00
47,0.9764768701779931,1.0,1000,2026-01-01 09:47:00
48,0.8498951807341052,1.0,1000,2026-01-01 09:48:00
49,0.9655199999999999,1.0,1000,2026-01-01 09:49:00
50,0.96097,1.0,1000,2026-01-01 09:50:00
51,0.9897,1.0,1000,2026-01-01 09:51:00
52,0.98986,1.0,1000,2026-01-01 09:52:00
53,0.97139,1.0,1000,2026-01-01 09:53:00
54,0.9797100000000001,1.0,1000,2026-01-01 09:54:00
55,0.97848,1.0,1000,2026-01-01 09:55:00
56,0.89742,1.0,1000,2026-01-01 09:56:00
57,0.88071,1.0,1000,2026-01-01 09:57:00
58,0.00187,0.7,1000,2026-01-01 09:58:00
59,0.785938885091941,1.0,1000,2026-01-01 09:59:00
60,0.433178815550435,1.0,1000,2026-01-01 10:00:00
61,0.07066803005,1.0,1000,2026-01-01 10:01:00
62,0.7079630916855704,1.0,1000,2026-01-01 10:02:00
63,0.22136890740735607,1.0,1000,2026-01-01 10:03:00
64,0.00281,0.85,1000,2026-01-01 10:04:00
65,0.0020498317867570764,0.9798317867570765,1000,2026-01-01 10:05:00
66,0.00076,0.14,1000,2026-01-01 10:06:00
67,0.00062,0.09,1000,2026-01-01 10:07:00
68,0.00166,0.64,1000,2026-01-01 10:08:00
69,0.00135,0.25,1000,2026-01-01 10:09:00
70,0.0024675896345463777,0.98,1000,2026-01-01 10:10:00
71,0.00066,0.15,1000,2026-01-01 10:11:00
72,0.0011300000000000001,0.23,1000,2026-01-01 10:12:00
73,0.00528,1.0,1000,2026-01-01 10:13:00
74,0.00512,1.0,1000,2026-01-01 10:14:00
75,0.0056,1.0,1000,2026-01-01 10:15:00
76,0.0043,1.0,1000,2026-01-01 10:16:00
77,0.006860000000000001,1.0,1000,2026-01-01 10:17:00
78,0.0070999999999999995,1.0,1000,2026-01-01 10:18:00
79,0.013609999999999999,1.0,1000,2026-01-01 10:19:00
80,0.02172,1.0,1000,2026-01-01 10:20:00
81,0.03549,1.0,1000,2026-01-01 10:21:00
82,0.04395,1.0,1000,2026-01-01 10:22:00
83,0.037579999999999995,1.0,1000,2026-01-01 10:23:00
84,0.00779,1.0,1000,2026-01-01 10:24:00
85,0.0046,0.63,1000,2026-01-01 10:25:00
86,0.0026,0.87,1000,2026-01-01 10:26:00
87,0.00392,0.78,1000,2026-01-01 10:27:00
88,0.00273,0.86,1000,2026-01-01 10:28:00
89,0.0025,0.67,1000,2026-01-01 10:29:00
90,0.00638,0.81,1000,2026-01-01 10:30:00
91,0.00353,0.91,1000,2026-01-01 10:31:00
92,0.0046099999999999995,0.82,1000,2026-01-01 10:32:00
93,0.00175,0.62,1000,2026-01-01 10:33:00
94,0.005810000000000001,0.79,1000,2026-01-01 10:34:00
95,0.011736708507554334,0.79,1000,2026-01-01 10:35:00
96,0.00214,0.77,1000,2026-01-01 10:36:00
97,0.00108,0.16,1000,2026-01-01 10:37:00
98,0.0015400000000000001,0.62,1000,2026-01-01 10:38:00
99,0.002957589634546378,0.8675896345463779,1000,2026-01-01 10:39:00
100,0.00147,0.69,1000,2026-01-01 10:40:00
101,0.00078,0.21,1000,2026-01-01 10:41:00
102,0.001079532302790585,0.2,1000,2026-01-01 10:42:00
103,0.00127,0.35,1000,2026-01-01 10:43:00
104,0.0021011005592044235,0.44,1000,2026-01-01 10:44:00
105,0.00102,0.22,1000,2026-01-01 10:45:00
106,0.00041000000000000005,0.05,1000,2026-01-01 10:46:00
107,0.00035,0.09,1000,2026-01-01 10:47:00
108,0.0010995730052254,0.13,1000,2026-01-01 10:48:00
109,0.0010299521278728562,0.26,1000,2026-01-01 10:49:00
110,0.00039,0.06,1000,2026-01-01 10:50:00
111,0.0008100000000000001,0.31,1000,2026-01-01 10:51:00
112,0.00151803005,0.70803005,1000,2026-01-01 10:52:00
113,0.0005899999999999999,0.2,1000,2026-01-01 10:53:00
114,0.0005600000000000001,0.11,1000,2026-01-01 10:54:00
115,0.00085,0.12,1000,2026-01-01 10:55:00
116,0.00094,0.15,1000,2026-01-01 10:56:00
117,0.00093,0.28,1000,2026-01-01 10:57:00
118,0.00054,0.09,1000,2026-01-01 10:58:00
119,0.0010400000000000001,0.13,1000,2026-01-01 10:59:00
120,0.00054,0.12,1000,2026-01-01 11:00:00
121,0.00065,0.11,1000,2026-01-01 11:01:00
122,0.00102,0.18,1000,2026-01-01 11:02:00
123,0.00122,0.19,1000,2026-01-01 11:03:00
124,0.0007100000000000001,0.15,1000,2026-01-01 11:04:00
125,0.00098,0.43,1000,2026-01-01 11:05:00
126,0.0009400000000000001,0.22,1000,2026-01-01 11:06:00
127,0.0018900000000000002,0.89,1000,2026-01-01 11:07:00
128,0.0012,0.22,1000,2026-01-01 11:08:00
129,0.00103,0.32,1000,2026-01-01 11:09:00
130,0.0013374521851328757,0.48745218513287564,1000,2026-01-01 11:10:00
131,0.0008100000000000001,0.14,1000,2026-01-01 11:11:00
132,0.09813638533745452,1.0,1000,2026-01-01 11:12:00
133,0.0011984845138030252,0.17,1000,2026-01-01 11:13:00
134,0.00078,0.16,1000,2026-01-01 11:14:00
135,0.00212,0.72,1000,2026-01-01 11:15:00
136,0.00098,0.49,1000,2026-01-01 11:16:00
137,0.00064,0.15,1000,2026-01-01 11:17:00
138,0.00131,0.85,1000,2026-01-01 11:18:00
139,0.00123,0.32,1000,2026-01-01 11:19:00
140,0.00053,0.26,1000,2026-01-01 11:20:00
141,0.0003,0.06,1000,2026-01-01 11:21:00
142,0.00053,0.25,1000,2026-01-01 11:22:00
143,0.0010500000000000002,0.8,1000,2026-01-01 11:23:00
144,0.0010992351733424615,0.22,1000,2026-01-01 11:24:00
145,0.0007,0.19,1000,2026-01-01 11:25:00
146,0.0005200000000000001,0.1,1000,2026-01-01 11:26:00
